Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Limit buy,2024-12-09 14:30:08.09,US67066G1040,NVDA,"Nvidia",,EOF24753652931,7.5000000000,139.020000,USD,1.05781912,,"EUR",987.14,"EUR",,,,,,,,,1.48,"EUR"
Market buy,2024-12-10 08:08:40.641,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24757690186,0.6108710000,49.110000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
Market buy,2024-12-11 08:08:48.946,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24806850042,0.6015620000,49.870000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
Market buy,2024-12-12 08:08:53.782,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24853597055,0.5972500000,50.230000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
Market buy,2024-12-13 08:11:33.875,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24906563167,0.6016820000,49.860000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
Limit buy,2024-12-17 09:22:24.431,US67066G1040,NVDA,"Nvidia",,EOF25109836912,7.6900000000,129.920000,USD,1.04851163,,"EUR",954.29,"EUR",,,,,,,,,1.43,"EUR"
Market buy,2024-12-18 08:35:52.516,LU1781540957,LCUS,"Lyxor Core US Equity DR (Dist)",,EOF25157708062,0.6007150000,17.188000,GBP,0.82733088,,"EUR",12.50,"EUR",,,,,,,,,0.02,"EUR"
Market buy,2024-12-18 08:35:52.716,GB00B15KXQ89,COPAP,"WisdomTree Copper",,EOF25157708066,0.2333770000,35.350000,EUR,1.00000000,,"EUR",8.25,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:52.789,IE00BLCHJ534,PAVE,"Global X US Infrastructure Development (Acc)",,EOF25157708070,0.1630660000,37.530000,EUR,1.00000000,,"EUR",6.12,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:52.789,LU0476289623,XMID,"Xtrackers MSCI Indonesia Swap (Acc)",,EOF25157708074,0.2753369700,1125.000000,GBX,82.82194953,,"EUR",3.75,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2024-12-18 08:35:53.252,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF25157708078,0.0764660000,49.040000,EUR,1.00000000,,"EUR",3.75,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:53.29,GB00B15KY658,SUGA,"WisdomTree Sugar",,EOF25157708081,0.0847800000,11.794000,EUR,1.00000000,,"EUR",1.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:54.938,IE00B42Q4896,XLFS,"Invesco Financials S&P US Select Sector (Acc)",,EOF25157708087,0.0103622000,379.280000,USD,1.05084898,,"EUR",3.75,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2024-12-18 08:35:55.903,IE00BHZRQZ17,FLXI,"Franklin FTSE India (Acc)",,EOF25157708099,0.3485910000,43.030000,EUR,1.00000000,,"EUR",15.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:55.935,IE00B3VSSL01,XLKS,"Invesco Technology S&P US Select Sector",,EOF25157708104,0.0088786000,675.770000,EUR,1.00000000,,"EUR",6.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:56.684,IE00BYTRRD19,WTCH,"SPDR MSCI World Technology (Acc)",,EOF25157708113,0.0512347000,175.660000,EUR,1.00000000,,"EUR",9.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:56.809,IE00BWBXM617,ZPDH,"SPDR S&P U.S. Health Care Select Sector (Acc)",,EOF25157708117,0.1860780000,40.305000,EUR,1.00000000,,"EUR",7.50,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:35:56.891,GB00B15KYH63,AIGAP,"WisdomTree Agriculture",,EOF25157708121,1.0548700000,5.687800,EUR,1.00000000,,"EUR",6.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:36:02.311,JE00B78NNK09,EWAT,"WisdomTree Wheat - EUR Daily Hedged",,EOF25157708162,1.3802100000,2.173500,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:36:03.064,GB00B15KYG56,OD7Z,"WisdomTree Industrial Metals",,EOF25157708169,0.5973640000,14.229000,EUR,1.00000000,,"EUR",8.50,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:36:41.479,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF25157708213,1.0605730000,49.030000,EUR,1.00000000,,"EUR",52.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:39:17.566,US29355A1079,E0P,"Enphase Energy",,EOF25157708341,0.1423270000,70.260000,EUR,1.00000000,,"EUR",10.00,"EUR",,,,,,,,,,
Market buy,2024-12-18 08:50:03.894,XS2425848053,WENT,"WisdomTree Energy Transition Metals",,EOF25157709002,0.4571080000,18.048000,EUR,1.00000000,,"EUR",8.25,"EUR",,,,,,,,,,
Market sell,2024-12-19 08:00:06.416,IE00B42Q4896,XLFS,"Invesco Financials S&P US Select Sector (Acc)",,EOF25250052908,0.0028334000,367.360000,USD,1.04087782,-0.02,"EUR",1.00,"EUR",,,,,,,,,,
Market sell,2024-12-19 08:03:38.142,US29355A1079,E0P,"Enphase Energy",,EOF25250056258,0.0153710000,65.050000,EUR,1.00000000,-0.08,"EUR",1.00,"EUR",,,,,,,,,,
Market sell,2024-12-19 08:04:07.028,IE00B3VSSL01,XLKS,"Invesco Technology S&P US Select Sector",,EOF25250056406,0.0015122000,661.200000,EUR,1.00000000,-0.02,"EUR",1.00,"EUR",,,,,,,,,,
Market sell,2024-12-19 08:04:12.673,IE00BWBXM617,ZPDH,"SPDR S&P U.S. Health Care Select Sector (Acc)",,EOF25250056454,0.0249190000,40.125000,EUR,1.00000000,0.00,"EUR",1.00,"EUR",,,,,,,,,,
Market sell,2024-12-19 08:04:15.962,GB00B15KXQ89,COPAP,"WisdomTree Copper",,EOF25250056534,0.0283650000,35.250000,EUR,1.00000000,0.00,"EUR",1.00,"EUR",,,,,,,,,,
Deposit,2024-12-23 21:53:50,,,,"Transaction ID: NB7WWQMW783L3VX3",93b8d915-6662-420e-920f-3fc5ae97090c,,,,,,,125.00,"EUR",,,125.88,"EUR",-0.88,"EUR",,,,
Market buy,2024-12-26 14:30:50.364,BMG162581083,BEP,"Brookfield Renewable Partners",,EOF25550134235,0.8881930000,23.300000,USD,1.03994456,,"EUR",19.93,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2024-12-26 14:30:58.661,US26969P1084,EXP,"Eagle Materials",,EOF25550135528,0.0216186000,251.200000,USD,1.04034335,,"EUR",5.23,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2024-12-27 08:00:32.558,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF25602738079,0.0761220000,49.130000,EUR,1.00000000,,"EUR",3.74,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:00:34.956,IE00B42Q4896,XLFS,"Invesco Financials S&P US Select Sector (Acc)",,EOF25602738268,0.0129786000,381.580000,USD,1.04260509,,"EUR",4.76,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2024-12-27 08:01:08.36,LU1781540957,LCUS,"Lyxor Core US Equity DR (Dist)",,EOF25602740695,0.6003280000,17.328000,GBP,0.83153345,,"EUR",12.53,"EUR",,,,,,,,,0.02,"EUR"
Market buy,2024-12-27 08:01:52.237,LU0476289623,XMID,"Xtrackers MSCI Indonesia Swap (Acc)",,EOF25602744086,0.2755202100,1133.000000,GBX,83.24383944,,"EUR",3.76,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2024-12-27 08:04:03.667,IE00BHZRQZ17,FLXI,"Franklin FTSE India (Acc)",,EOF25602748345,0.3574690000,42.325000,EUR,1.00000000,,"EUR",15.13,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:04:05.842,IE00BWBXM617,ZPDH,"SPDR S&P U.S. Health Care Select Sector (Acc)",,EOF25602748498,0.2068680000,40.895000,EUR,1.00000000,,"EUR",8.46,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:04:16.564,IE00BYTRRD19,WTCH,"SPDR MSCI World Technology (Acc)",,EOF25602749241,0.0503388000,176.800000,EUR,1.00000000,,"EUR",8.90,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:04:17.536,IE00B3VSSL01,XLKS,"Invesco Technology S&P US Select Sector",,EOF25602749351,0.0102515000,681.840000,EUR,1.00000000,,"EUR",6.99,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:04:25.55,XS2425848053,WENT,"WisdomTree Energy Transition Metals",,EOF25602749902,0.4636150000,17.730000,EUR,1.00000000,,"EUR",8.22,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:04:28.165,IE00BLCHJ534,PAVE,"Global X US Infrastructure Development (Acc)",,EOF25605050084,0.1701920000,36.840000,EUR,1.00000000,,"EUR",6.27,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:04:31.57,GB00B15KXQ89,COPAP,"WisdomTree Copper",,EOF25605050342,0.2560410000,35.775000,EUR,1.00000000,,"EUR",9.16,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:04:31.967,US29355A1079,E0P,"Enphase Energy",,EOF25605050355,0.1546970000,72.140000,EUR,1.00000000,,"EUR",11.16,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:06:00.752,GB00B15KYG56,OD7Z,"WisdomTree Industrial Metals",,EOF25605053333,0.5865500000,14.372000,EUR,1.00000000,,"EUR",8.43,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:06:00.951,GB00B15KYH63,AIGAP,"WisdomTree Agriculture",,EOF25605053361,1.0141700000,5.797700,EUR,1.00000000,,"EUR",5.88,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:21:12.355,JE00B78NNK09,EWAT,"WisdomTree Wheat - EUR Daily Hedged",,EOF25605066513,1.3549600000,2.214000,EUR,1.00000000,,"EUR",3.00,"EUR",,,,,,,,,,
Market buy,2024-12-27 08:30:33.268,GB00B15KY658,SUGA,"WisdomTree Sugar",,EOF25605069405,0.0867660000,11.524000,EUR,1.00000000,,"EUR",1.00,"EUR",,,,,,,,,,
Dividend (Dividend),2024-12-27 13:49:07,US67066G1040,NVDA,"Nvidia",,,25.2500000000,0.008500,USD,Not available,,,0.21,"EUR",0.04,USD,,,,,,,,
Deposit,2025-01-01 10:44:47,,,,"Transaction ID: BBFMZHT5CJBTZWX3",2805e8a6-03d8-4013-a20c-9f03f04f09ce,,,,,,,125.00,"EUR",,,125.88,"EUR",-0.88,"EUR",,,,
Market buy,2025-01-02 08:00:00.45,IE00BLCHJ534,PAVE,"Global X US Infrastructure Development (Acc)",,EOF25854033273,0.1669810000,36.710000,EUR,1.00000000,,"EUR",6.13,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:00:18.902,IE00B42Q4896,XLFS,"Invesco Financials S&P US Select Sector (Acc)",,EOF25854034907,0.0101589000,376.910000,USD,1.03766693,,"EUR",3.70,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2025-01-02 08:00:29.488,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF25854035556,0.0746330000,49.440000,EUR,1.00000000,,"EUR",3.69,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:00:29.757,GB00B15KYH63,AIGAP,"WisdomTree Agriculture",,EOF25854035559,1.0008600000,5.864800,EUR,1.00000000,,"EUR",5.87,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:00:58.634,LU0476289623,XMID,"Xtrackers MSCI Indonesia Swap (Acc)",,EOF25854037089,0.2709012300,1135.000000,GBX,82.87679138,,"EUR",3.72,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2025-01-02 08:01:59.27,LU1781540957,LCUS,"Lyxor Core US Equity DR (Dist)",,EOF25854042903,0.3234000000,16.992000,GBP,0.82759228,,"EUR",6.65,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2025-01-02 08:02:02.659,LU1781540957,LCUS,"Lyxor Core US Equity DR (Dist)",,EOF25854042967,0.2832650000,16.990000,GBP,0.82834291,,"EUR",5.82,"EUR",,,,,,,,,0.01,"EUR"
Market buy,2025-01-02 08:04:03.8,GB00B15KXQ89,COPAP,"WisdomTree Copper",,EOF25854045996,0.2411190000,34.920000,EUR,1.00000000,,"EUR",8.42,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:05.221,US29355A1079,E0P,"Enphase Energy",,EOF25854046065,0.1508240000,69.020000,EUR,1.00000000,,"EUR",10.41,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:08.339,GB00B15KY658,SUGA,"WisdomTree Sugar",,EOF25854046418,0.0858720000,11.644000,EUR,1.00000000,,"EUR",1.00,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:10.403,GB00B15KYG56,OD7Z,"WisdomTree Industrial Metals",,EOF25854046626,0.1817350000,14.344000,EUR,1.00000000,,"EUR",2.61,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:14.158,IE00B3VSSL01,XLKS,"Invesco Technology S&P US Select Sector",,EOF25854046978,0.0090064000,669.510000,EUR,1.00000000,,"EUR",6.03,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:14.27,IE00BYTRRD19,WTCH,"SPDR MSCI World Technology (Acc)",,EOF25854046962,0.0521343000,173.780000,EUR,1.00000000,,"EUR",9.06,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:15.66,IE00BHZRQZ17,FLXI,"Franklin FTSE India (Acc)",,EOF25854047069,0.3464780000,42.975000,EUR,1.00000000,,"EUR",14.89,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:21.79,IE00BWBXM617,ZPDH,"SPDR S&P U.S. Health Care Select Sector (Acc)",,EOF25854047533,0.1828640000,40.740000,EUR,1.00000000,,"EUR",7.45,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:04:28.566,XS2425848053,WENT,"WisdomTree Energy Transition Metals",,EOF25854048195,0.4362580000,18.200000,EUR,1.00000000,,"EUR",7.94,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:06:05.139,JE00B78NNK09,EWAT,"WisdomTree Wheat - EUR Daily Hedged",,EOF25900252406,1.3387100000,2.211000,EUR,1.00000000,,"EUR",2.96,"EUR",,,,,,,,,,
Market buy,2025-01-02 08:06:23.707,GB00B15KYG56,OD7Z,"WisdomTree Industrial Metals",,EOF25900253544,0.3948790000,14.316000,EUR,1.00000000,,"EUR",5.65,"EUR",,,,,,,,,,
Market buy,2025-01-02 14:30:48.192,US26969P1084,EXP,"Eagle Materials",,EOF25951927939,0.0109150000,251.030000,USD,1.03007234,,"EUR",2.66,"EUR",,,,,,,,,,
Market buy,2025-01-02 14:30:48.423,BMG162581083,BEP,"Brookfield Renewable Partners",,EOF25951923588,0.4599040000,23.070000,USD,1.03209973,,"EUR",10.30,"EUR",,,,,,,,,0.02,"EUR"
Limit sell,2025-01-06 14:48:16.925,US67066G1040,NVDA,"Nvidia",,EOF26156601140,23.0000000000,149.890000,USD,1.03836017,289.89,"EUR",3315.13,"EUR",,,,,,,,,4.98,"EUR"
Market buy,2025-01-09 13:03:24.671,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF26255693540,3.1500000000,50.450000,EUR,1.00000000,,"EUR",158.92,"EUR",,,,,,,,,,
Market buy,2025-01-09 13:05:00.793,GB00B15KYH63,AIGAP,"WisdomTree Agriculture",,EOF26255693614,13.4460600000,5.812100,EUR,1.00000000,,"EUR",78.15,"EUR",,,,,,,,,,
Market buy,2025-01-09 13:05:00.796,LU1781540957,LCUS,"Lyxor Core US Equity DR (Dist)",,EOF26255693617,7.0000000000,17.320000,GBP,0.83839291,,"EUR",144.83,"EUR",,,,,,,,,0.22,"EUR"
