Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-01-10 13:01:03.706,US0003752047,ABBNY,"ABB",,EOF26350763961,3.2498320000,54.250000,USD,1.03053183,,"EUR",171.34,"EUR",,,,,,,,,0.26,"EUR"
Market sell,2025-01-10 14:30:07.275,US67066G1040,NVDA,"Nvidia",,EOF26350780843,1.7000000000,137.370000,USD,1.02614025,3.61,"EUR",227.24,"EUR",,,,,,,,,0.34,"EUR"
Market buy,2025-01-10 14:30:17.793,US87151X1019,SYM,"Symbotic",,EOF26350784687,5.8000000000,26.300000,USD,1.02603080,,"EUR",148.89,"EUR",,,,,,,,,0.22,"EUR"
Market buy,2025-01-10 14:30:25.825,US26969P1084,EXP,"Eagle Materials",,EOF26350796890,0.1486683000,237.220000,USD,1.02610108,,"EUR",34.42,"EUR",,,,,,,,,0.05,"EUR"
Market buy,2025-01-10 14:30:35.917,BMG162581083,BEP,"Brookfield Renewable Partners",,EOF26350793919,5.8862070000,22.650000,USD,1.02611089,,"EUR",130.12,"EUR",,,,,,,,,0.19,"EUR"
Market buy,2025-01-13 19:02:48.865,US9837931008,XPO,"XPO",,EOF26507558355,5.0000000000,134.750000,USD,1.02134400,,"EUR",660.66,"EUR",,,,,,,,,0.99,"EUR"
Market buy,2025-01-13 19:03:00.39,US9837931008,XPO,"XPO",,EOF26507558361,0.7000000000,134.850000,USD,1.02125933,,"EUR",92.57,"EUR",,,,,,,,,0.14,"EUR"
Market buy,2025-01-13 20:43:18.636,US25400Q1058,DJT,"Trump Media & Technology Group",,EOF26507571071,4.8000000000,43.030000,USD,1.02113017,,"EUR",202.57,"EUR",,,,,,,,,0.30,"EUR"
Market sell,2025-01-17 16:55:13.623,US25400Q1058,DJT,"Trump Media & Technology Group",,EOF26703289277,4.8000000000,41.850000,USD,1.02909836,-7.07,"EUR",194.91,"EUR",,,,,,,,,0.29,"EUR"
Stop buy,2025-01-27 16:49:49.22,US67066G1040,NVDA,"Nvidia",,EOF27259491672,4.4000000000,119.980000,USD,1.04896377,,"EUR",504.02,"EUR",,,,,,,,,0.75,"EUR"
Market sell,2025-01-30 17:48:16.699,US9837931008,XPO,"XPO",,EOF27403727351,1.7237000000,135.180000,USD,1.04166375,-3.75,"EUR",223.35,"EUR",,,,,,,,,0.34,"EUR"
Market sell,2025-01-30 17:48:20.992,US9837931008,XPO,"XPO",,EOF27403727363,3.9763000000,135.180000,USD,1.04171831,-8.67,"EUR",515.22,"EUR",,,,,,,,,0.77,"EUR"
Market buy,2025-01-30 17:50:53.853,US67066G1040,NVDA,"Nvidia",,EOF27403727719,8.0000000000,119.935000,USD,1.04149796,,"EUR",922.63,"EUR",,,,,,,,,1.38,"EUR"
Market buy,2025-01-30 17:50:53.996,US67066G1040,NVDA,"Nvidia",,EOF27403727720,0.6800000000,119.940000,USD,1.04149150,,"EUR",78.43,"EUR",,,,,,,,,0.12,"EUR"
Market sell,2025-02-03 01:00:01.522,US67066G1040,NVDA,"Nvidia",,EOF27500320129,8.6500000000,115.280000,USD,1.02328626,-60.67,"EUR",973.02,"EUR",,,,,,,,,1.46,"EUR"
Market buy,2025-02-04 14:30:00.626,US67066G1040,NVDA,"Nvidia",,EOF27650276070,0.1767094000,116.970000,USD,1.03503748,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-05 14:35:15.26,US67066G1040,NVDA,"Nvidia",,EOF27701237084,0.1706577000,121.930000,USD,1.04197763,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-06 14:35:19.767,US67066G1040,NVDA,"Nvidia",,EOF27752858447,0.1645130000,125.880000,USD,1.03700032,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-07 14:35:48.664,US67066G1040,NVDA,"Nvidia",,EOF27800441980,0.1598720000,129.7000000000,USD,1.03832741,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-10 14:36:07.46,US67066G1040,NVDA,"Nvidia",,EOF27955254773,0.1554412000,132.4700000000,USD,1.03111145,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-10 14:36:07.723,US67066G1040,NVDA,"Nvidia",,EOF27955254823,0.3109089000,132.4600000000,USD,1.03112150,,"EUR",40.00,"EUR",,,,,,,,,0.06,"EUR"
